iter	Passed	Remaining
0	148	148847
1	154	76947
2	157	52314
3	160	39881
4	163	32458
5	166	27614
6	171	24330
7	176	21837
8	179	19767
9	181	18008
10	184	16606
11	187	15436
12	190	14440
13	192	13591
14	196	12906
15	199	12268
16	202	11702
17	205	11192
18	207	10736
19	210	10331
20	214	9981
21	217	9657
22	220	9353
23	222	9068
24	225	8808
25	229	8593
26	232	8383
27	235	8185
28	238	8000
29	242	7835
30	246	7705
31	249	7561
32	253	7426
33	257	7306
34	260	7194
35	264	7085
36	268	6990
37	271	6879
38	275	6795
39	279	6707
40	282	6611
41	285	6521
42	289	6438
43	293	6372
44	296	6293
45	300	6226
46	303	6153
47	306	6087
48	311	6040
49	314	5972
50	317	5910
51	321	5854
52	328	5864
53	332	5826
54	336	5775
55	342	5777
56	349	5783
57	353	5741
58	359	5725
59	362	5681
60	366	5637
61	370	5601
62	376	5601
63	381	5581
64	385	5547
65	390	5524
66	393	5483
67	397	5441
68	400	5406
69	405	5382
70	408	5346
71	412	5311
72	415	5280
73	419	5248
74	423	5221
75	426	5188
76	430	5157
77	433	5125
78	438	5109
79	441	5079
80	445	5052
81	448	5026
82	453	5005
83	456	4977
84	460	4952
85	464	4932
86	467	4908
87	471	4887
88	475	4865
89	478	4841
90	482	4818
91	487	4811
92	491	4790
93	494	4770
94	498	4751
95	503	4738
96	506	4718
97	510	4702
98	514	4677
99	518	4667
100	522	4648
101	525	4627
102	530	4616
103	537	4634
104	542	4622
105	548	4628
106	553	4615
107	556	4599
108	560	4582
109	564	4569
110	568	4556
111	572	4539
112	576	4524
113	580	4513
114	584	4498
115	588	4481
116	591	4465
117	595	4452
118	599	4441
119	603	4426
120	607	4411
121	611	4398
122	615	4386
123	618	4372
124	622	4357
125	626	4345
126	630	4337
127	634	4323
128	638	4310
129	642	4299
130	646	4291
131	650	4276
132	653	4262
133	657	4250
134	662	4244
135	665	4230
136	669	4217
137	673	4206
138	678	4202
139	682	4193
140	687	4185
141	690	4174
142	695	4165
143	698	4151
144	701	4138
145	705	4127
146	710	4120
147	713	4109
148	717	4099
149	721	4089
150	726	4082
151	729	4072
152	733	4062
153	737	4051
154	741	4042
155	745	4031
156	749	4023
157	753	4013
158	757	4004
159	760	3993
160	764	3982
161	767	3971
162	771	3960
163	775	3953
164	779	3944
165	783	3934
166	786	3923
167	791	3920
168	795	3912
169	798	3900
170	802	3890
171	806	3884
172	810	3875
173	814	3865
174	817	3853
175	822	3849
176	825	3840
177	829	3830
178	834	3825
179	838	3818
180	842	3814
181	847	3807
182	851	3799
183	859	3811
184	864	3807
185	870	3809
186	874	3802
187	878	3793
188	881	3783
189	886	3779
190	890	3771
191	893	3761
192	897	3751
193	900	3741
194	904	3734
195	907	3724
196	911	3714
197	914	3704
198	919	3699
199	922	3691
200	926	3682
201	930	3674
202	934	3670
203	938	3662
204	942	3654
205	944	3640
206	947	3631
207	952	3626
208	956	3619
209	960	3612
210	963	3604
211	968	3599
212	971	3590
213	975	3581
214	978	3572
215	981	3563
216	985	3555
217	988	3546
218	991	3537
219	995	3528
220	998	3520
221	1002	3513
222	1007	3509
223	1011	3503
224	1014	3496
225	1018	3487
226	1021	3478
227	1024	3467
228	1027	3459
229	1031	3452
230	1034	3443
231	1037	3435
232	1040	3425
233	1043	3416
234	1047	3410
235	1051	3402
236	1054	3394
237	1057	3386
238	1060	3378
239	1064	3372
240	1068	3364
241	1071	3356
242	1074	3348
243	1078	3341
244	1082	3334
245	1085	3327
246	1088	3319
247	1092	3311
248	1095	3305
249	1099	3298
250	1102	3290
251	1106	3282
252	1109	3275
253	1113	3270
254	1116	3263
255	1120	3255
256	1123	3248
257	1127	3242
258	1131	3236
259	1134	3229
260	1137	3221
261	1141	3214
262	1145	3209
263	1148	3202
264	1152	3196
265	1156	3189
266	1159	3184
267	1163	3179
268	1167	3173
269	1171	3166
270	1177	3168
271	1181	3163
272	1186	3159
273	1189	3152
274	1194	3148
275	1197	3141
276	1200	3134
277	1203	3126
278	1208	3123
279	1212	3116
280	1215	3109
281	1218	3102
282	1222	3096
283	1226	3091
284	1229	3084
285	1232	3077
286	1235	3070
287	1239	3063
288	1242	3057
289	1246	3050
290	1248	3041
291	1251	3035
292	1254	3028
293	1258	3022
294	1261	3015
295	1264	3008
296	1268	3001
297	1271	2994
298	1275	2989
299	1278	2982
300	1281	2975
301	1284	2969
302	1287	2962
303	1291	2957
304	1294	2950
305	1297	2943
306	1301	2937
307	1304	2931
308	1308	2925
309	1310	2917
310	1315	2913
311	1321	2914
312	1325	2909
313	1328	2903
314	1332	2896
315	1335	2890
316	1339	2886
317	1342	2879
318	1346	2874
319	1349	2868
320	1353	2862
321	1357	2857
322	1360	2851
323	1363	2845
324	1367	2839
325	1371	2835
326	1374	2829
327	1378	2823
328	1381	2817
329	1385	2812
330	1388	2807
331	1392	2801
332	1395	2795
333	1399	2789
334	1402	2784
335	1406	2780
336	1410	2775
337	1415	2771
338	1419	2767
339	1422	2762
340	1426	2756
341	1429	2750
342	1432	2744
343	1436	2739
344	1439	2733
345	1443	2727
346	1446	2721
347	1449	2715
348	1451	2708
349	1455	2702
350	1458	2697
351	1461	2691
352	1465	2685
353	1470	2683
354	1473	2677
355	1477	2672
356	1480	2666
357	1484	2663
358	1488	2657
359	1491	2651
360	1494	2645
361	1498	2640
362	1501	2635
363	1505	2629
364	1508	2624
365	1511	2618
366	1515	2614
367	1519	2609
368	1522	2603
369	1526	2598
370	1529	2593
371	1533	2589
372	1537	2583
373	1540	2578
374	1544	2574
375	1548	2570
376	1554	2569
377	1558	2565
378	1562	2560
379	1567	2557
380	1570	2551
381	1573	2545
382	1576	2540
383	1581	2536
384	1584	2531
385	1587	2525
386	1591	2520
387	1594	2515
388	1598	2511
389	1602	2505
390	1606	2501
391	1613	2502
392	1619	2501
393	1625	2499
394	1632	2499
395	1638	2498
396	1645	2499
397	1653	2500
398	1660	2501
399	1666	2500
400	1671	2496
401	1674	2491
402	1679	2487
403	1686	2488
404	1691	2484
405	1695	2480
406	1698	2474
407	1701	2469
408	1705	2464
409	1709	2460
410	1713	2455
411	1716	2449
412	1719	2444
413	1723	2439
414	1727	2435
415	1730	2430
416	1734	2424
417	1737	2418
418	1740	2413
419	1744	2409
420	1747	2403
421	1751	2398
422	1754	2393
423	1758	2388
424	1761	2383
425	1764	2377
426	1768	2372
427	1771	2367
428	1775	2362
429	1778	2357
430	1781	2352
431	1784	2346
432	1788	2341
433	1792	2337
434	1795	2332
435	1799	2327
436	1802	2321
437	1806	2317
438	1810	2313
439	1814	2308
440	1818	2304
441	1823	2301
442	1828	2298
