iter	Passed	Remaining
443	1832	2294
444	1835	2289
445	1840	2286
446	1844	2281
447	1847	2276
448	1851	2272
449	1857	2270
450	1860	2265
451	1864	2260
452	1868	2256
453	1873	2252
454	1877	2249
455	1882	2245
456	1886	2241
457	1890	2237
458	1894	2232
459	1897	2227
460	1901	2223
461	1905	2219
462	1909	2214
463	1913	2210
464	1917	2205
465	1921	2202
466	1925	2197
467	1929	2193
468	1933	2188
469	1937	2184
470	1941	2180
471	1945	2175
472	1948	2170
473	1952	2166
474	1955	2161
475	1959	2157
476	1963	2152
477	1967	2148
478	1971	2144
479	1974	2139
480	1978	2135
481	1982	2131
482	1987	2126
483	1990	2122
484	1994	2117
485	1997	2113
486	2002	2109
487	2006	2104
488	2009	2100
489	2013	2095
490	2018	2092
491	2021	2087
492	2025	2082
493	2028	2078
494	2035	2076
495	2038	2071
496	2042	2067
497	2046	2062
498	2051	2059
499	2055	2055
500	2059	2051
501	2066	2050
502	2070	2046
503	2074	2041
504	2078	2037
505	2083	2034
506	2087	2029
507	2091	2025
508	2095	2021
509	2099	2017
510	2103	2012
511	2106	2007
512	2110	2003
513	2114	1999
514	2118	1995
515	2122	1990
516	2126	1986
517	2130	1982
518	2134	1977
519	2137	1973
520	2141	1968
521	2146	1965
522	2150	1960
523	2154	1956
524	2157	1952
525	2162	1948
526	2165	1944
527	2169	1939
528	2173	1935
529	2178	1931
530	2182	1927
531	2185	1922
532	2189	1918
533	2194	1914
534	2197	1910
535	2201	1905
536	2205	1901
537	2209	1897
538	2213	1892
539	2217	1888
540	2220	1884
541	2225	1880
542	2229	1876
543	2233	1872
544	2237	1867
545	2241	1864
546	2245	1859
547	2249	1855
548	2253	1851
549	2257	1847
550	2261	1843
551	2265	1839
552	2269	1834
553	2274	1831
554	2278	1827
555	2282	1822
556	2286	1818
557	2291	1815
558	2295	1810
559	2298	1806
560	2302	1801
561	2307	1798
562	2311	1794
563	2315	1789
564	2318	1785
565	2324	1782
566	2328	1777
567	2331	1773
568	2335	1769
569	2339	1765
570	2343	1760
571	2347	1756
572	2351	1752
573	2356	1748
574	2359	1744
575	2363	1739
576	2367	1735
577	2371	1731
578	2375	1727
579	2379	1722
580	2382	1718
581	2387	1714
582	2391	1710
583	2394	1705
584	2399	1702
585	2404	1698
586	2408	1694
587	2411	1689
588	2415	1685
589	2421	1682
590	2425	1678
591	2429	1674
592	2434	1671
593	2438	1667
594	2443	1663
595	2447	1659
596	2452	1655
597	2456	1651
598	2460	1647
599	2464	1643
600	2469	1639
601	2473	1635
602	2476	1630
603	2480	1626
604	2484	1622
605	2488	1617
606	2491	1613
607	2495	1608
608	2499	1604
609	2502	1600
610	2506	1595
611	2509	1591
612	2513	1586
613	2517	1582
614	2520	1578
615	2524	1573
616	2527	1569
617	2532	1565
618	2535	1560
619	2539	1556
620	2542	1551
621	2546	1547
622	2550	1543
623	2553	1538
624	2556	1534
625	2560	1529
626	2564	1525
627	2567	1521
628	2571	1516
629	2574	1512
630	2577	1507
631	2582	1503
632	2585	1499
633	2589	1494
634	2592	1490
635	2596	1486
636	2599	1481
637	2603	1477
638	2606	1472
639	2609	1468
640	2613	1463
641	2617	1459
642	2620	1455
643	2623	1450
644	2628	1446
645	2632	1442
646	2635	1437
647	2638	1433
648	2642	1429
649	2646	1425
650	2649	1420
651	2653	1416
652	2656	1411
653	2660	1407
654	2664	1403
655	2667	1399
656	2671	1394
657	2674	1390
658	2678	1386
659	2682	1381
660	2685	1377
661	2688	1372
662	2692	1368
663	2696	1364
664	2699	1359
665	2703	1355
666	2706	1351
667	2710	1347
668	2713	1342
669	2716	1338
670	2719	1333
671	2722	1329
672	2726	1324
673	2729	1320
674	2732	1315
675	2736	1311
676	2739	1306
677	2742	1302
678	2746	1298
679	2749	1294
680	2752	1289
681	2756	1285
682	2760	1281
683	2763	1276
684	2767	1272
685	2770	1268
686	2774	1264
687	2777	1259
688	2781	1255
689	2784	1251
690	2787	1246
691	2791	1242
692	2795	1238
693	2798	1233
694	2801	1229
695	2804	1225
696	2808	1221
697	2812	1216
698	2815	1212
699	2818	1207
700	2822	1203
701	2825	1199
702	2829	1195
703	2832	1190
704	2835	1186
705	2838	1182
706	2842	1177
707	2845	1173
708	2848	1169
709	2852	1164
710	2855	1160
711	2858	1156
712	2862	1152
713	2865	1147
714	2868	1143
715	2871	1139
716	2875	1134
717	2878	1130
718	2881	1126
719	2884	1121
720	2887	1117
721	2891	1113
722	2894	1108
723	2897	1104
724	2901	1100
725	2904	1096
726	2907	1091
727	2911	1087
728	2914	1083
729	2917	1079
730	2922	1075
731	2925	1071
732	2928	1066
733	2932	1062
734	2935	1058
735	2938	1054
736	2942	1049
737	2945	1045
738	2948	1041
739	2952	1037
740	2956	1033
741	2959	1028
742	2962	1024
743	2965	1020
744	2969	1016
745	2973	1012
746	2976	1008
747	2979	1003
748	2982	999
749	2986	995
750	2989	991
751	2993	987
752	2996	982
753	2999	978
754	3003	974
755	3006	970
756	3010	966
757	3013	962
758	3017	958
759	3020	953
760	3023	949
761	3026	945
762	3030	941
763	3033	937
764	3036	932
765	3039	928
766	3043	924
767	3046	920
768	3049	916
769	3052	911
770	3056	907
771	3059	903
772	3062	899
773	3066	895
774	3069	891
775	3072	886
776	3075	882
777	3079	878
778	3083	874
779	3086	870
780	3089	866
781	3093	862
782	3096	858
783	3100	854
784	3104	850
785	3107	846
786	3110	841
787	3114	837
788	3117	833
789	3121	829
790	3124	825
791	3127	821
792	3131	817
793	3134	813
794	3137	809
795	3140	804
796	3144	800
797	3147	796
798	3151	792
799	3154	788
800	3157	784
801	3161	780
802	3164	776
803	3168	772
804	3171	768
805	3174	764
806	3178	760
807	3181	756
808	3185	751
809	3188	747
810	3191	743
811	3194	739
812	3198	735
813	3201	731
814	3204	727
815	3207	723
816	3211	719
817	3215	715
818	3218	711
819	3221	707
820	3225	703
821	3228	699
822	3231	695
823	3235	691
824	3238	687
825	3242	682
826	3246	679
827	3249	675
828	3252	670
829	3256	666
830	3259	662
831	3263	658
832	3266	654
833	3269	650
834	3273	646
835	3276	642
836	3280	638
837	3283	634
838	3286	630
839	3289	626
840	3293	622
841	3296	618
842	3299	614
843	3303	610
844	3306	606
845	3310	602
846	3313	598
847	3316	594
848	3320	590
849	3323	586
850	3327	582
851	3331	578
852	3334	574
853	3337	570
854	3341	566
855	3344	562
856	3347	558
857	3350	554
858	3354	550
859	3357	546
860	3360	542
861	3364	538
862	3367	534
863	3371	530
864	3374	526
865	3378	522
866	3381	518
867	3384	514
868	3388	510
869	3392	506
870	3395	502
871	3398	498
872	3402	494
873	3405	490
874	3409	487
875	3412	483
876	3415	479
877	3419	475
878	3422	471
879	3426	467
880	3429	463
881	3432	459
882	3436	455
883	3440	451
884	3444	447
885	3448	443
886	3454	440
887	3459	436
888	3462	432
889	3466	428
890	3471	424
891	3475	420
892	3478	416
893	3482	412
894	3487	409
895	3491	405
896	3495	401
897	3499	397
898	3503	393
899	3507	389
900	3511	385
901	3515	381
902	3519	378
903	3523	374
904	3527	370
905	3531	366
906	3535	362
907	3539	358
908	3542	354
909	3546	350
910	3550	346
911	3555	343
912	3559	339
913	3562	335
914	3566	331
915	3570	327
916	3574	323
917	3578	319
918	3582	315
919	3586	311
920	3590	307
921	3593	304
922	3597	300
923	3601	296
924	3605	292
925	3609	288
926	3613	284
927	3617	280
928	3621	276
929	3625	272
930	3629	268
931	3633	265
932	3637	261
933	3641	257
934	3645	253
935	3650	249
936	3653	245
937	3657	241
938	3661	237
939	3665	233
940	3669	230
941	3673	226
942	3676	222
943	3681	218
944	3685	214
945	3688	210
946	3692	206
947	3697	202
948	3701	198
949	3705	195
950	3708	191
951	3713	187
952	3717	183
953	3721	179
954	3724	175
955	3729	171
956	3733	167
957	3737	163
958	3741	159
959	3748	156
960	3752	152
961	3756	148
962	3761	144
963	3764	140
964	3768	136
965	3773	132
966	3777	128
967	3781	124
968	3784	121
969	3788	117
970	3793	113
971	3797	109
972	3801	105
973	3805	101
974	3809	97
975	3813	93
976	3817	89
977	3821	85
978	3826	82
979	3829	78
980	3833	74
981	3837	70
982	3843	66
983	3847	62
984	3853	58
985	3859	54
986	3863	50
987	3867	46
988	3872	43
989	3876	39
990	3879	35
991	3883	31
992	3888	27
993	3892	23
994	3896	19
995	3900	15
996	3905	11
997	3909	7
998	3913	3
999	3917	0
