iter	Logloss
0	0.6771023858
1	0.662194826
2	0.6482065793
3	0.6352948551
4	0.6233033865
5	0.6119185772
6	0.6018277799
7	0.5918268194
8	0.5818845451
9	0.5744591539
10	0.5660381888
11	0.5582013157
12	0.5505087045
13	0.543163977
14	0.5359421505
15	0.5297039217
16	0.5233914373
17	0.5174886572
18	0.5125958885
19	0.5073274486
20	0.5025814796
21	0.4984467518
22	0.4945564789
23	0.4900650362
24	0.4861009601
25	0.4823268307
26	0.4787948154
27	0.4752801189
28	0.4721299627
29	0.4691082849
30	0.4667828922
31	0.4638319481
32	0.4613362666
33	0.4584862443
34	0.4560601963
35	0.4539879279
36	0.4518303659
37	0.449632834
38	0.4477573549
39	0.4459674277
40	0.4444863011
41	0.4425940344
42	0.4408080402
43	0.439069914
44	0.4377939533
45	0.4363655811
46	0.4348854127
47	0.4335681791
48	0.432234782
49	0.4311563115
50	0.4298569688
51	0.4285809263
52	0.4277177099
53	0.4267341446
54	0.4255741992
55	0.4243916003
56	0.4236125206
57	0.4226753507
58	0.4218111523
59	0.4209185865
60	0.4200519933
61	0.4192405495
62	0.4184157284
63	0.4175516993
64	0.416776323
65	0.4161388285
66	0.4152921768
67	0.4144928358
68	0.4138581721
69	0.4131148561
70	0.4125102429
71	0.4119120527
72	0.4114230175
73	0.4107015871
74	0.4099803618
75	0.4094308841
76	0.4088840427
77	0.4082813567
78	0.4077908258
79	0.4072454813
80	0.4067146691
81	0.4062369896
82	0.4057847167
83	0.4052862483
84	0.4048181389
85	0.4042017564
86	0.4038094152
87	0.4034404672
88	0.4028416255
89	0.4023421745
90	0.4019443363
91	0.4015597134
92	0.4012460903
93	0.4007752597
94	0.4004601093
95	0.4000816344
96	0.3996481477
97	0.3992001412
98	0.3989236126
99	0.3985302307
100	0.3982269656
101	0.3979489384
102	0.3975318838
103	0.3972773271
104	0.397127388
105	0.3967492347
106	0.3964648711
107	0.3961595597
108	0.3959226321
109	0.3956021093
110	0.3953753374
111	0.3950156524
112	0.3946520043
113	0.3943627659
114	0.3941257292
115	0.3939005144
116	0.3935865071
117	0.3931590034
118	0.3928845278
119	0.3925957724
120	0.3922882025
121	0.3920633359
122	0.3917764102
123	0.3915067981
124	0.3912976659
125	0.3910321952
126	0.3908182378
127	0.3905331602
128	0.390320407
129	0.3900619604
130	0.3897303865
131	0.3895342683
132	0.3893357278
133	0.3890739201
134	0.3888173258
135	0.3886310889
136	0.3883852698
137	0.3882144766
138	0.3879341454
139	0.3876759912
140	0.3875098847
141	0.3872209857
142	0.3869849065
143	0.3868225899
144	0.3866668566
145	0.3864869948
146	0.3862763248
147	0.386076379
148	0.3858560413
149	0.3856957322
150	0.3855503573
151	0.3853936543
152	0.3851643258
153	0.385069091
154	0.3849007815
155	0.3847131723
156	0.3844703017
157	0.3842444706
158	0.3840690264
159	0.3840013587
160	0.3838313394
161	0.3836636519
162	0.3834927936
163	0.3833307789
164	0.3831351732
165	0.3829127693
166	0.3828057041
167	0.3826507905
168	0.3825098882
169	0.382366563
170	0.382235149
171	0.3820000408
172	0.3817714724
173	0.3815805108
174	0.3815283175
175	0.381398887
176	0.3811924409
177	0.3810754947
178	0.3809411452
179	0.3808531197
180	0.3806971989
181	0.3804950684
182	0.380390777
183	0.3802112907
184	0.3800410842
185	0.3799036146
186	0.3797837978
187	0.3796935074
188	0.3795470307
189	0.3793848077
190	0.3792592129
191	0.3791105902
192	0.379000029
193	0.3787351922
194	0.3786363636
195	0.3784936151
196	0.3783240865
197	0.3781685674
198	0.3780397679
199	0.377831004
200	0.3776609813
201	0.3775081006
202	0.3773281221
203	0.3771842003
204	0.3770498684
205	0.3770393726
206	0.3768589568
207	0.3767625486
208	0.3765873632
209	0.3764967758
210	0.3763133706
211	0.3761738856
212	0.3759921531
213	0.3758555058
214	0.3756215314
215	0.3753951969
216	0.3752178656
217	0.3750656679
218	0.3748995563
219	0.3747940756
220	0.3745942005
221	0.3744251745
222	0.3742487132
223	0.3741200433
224	0.3739523584
225	0.3738230044
226	0.3737095681
227	0.3736717887
228	0.3735254476
229	0.3733687914
230	0.3733062159
231	0.3731264847
232	0.3730910155
233	0.3729028082
234	0.3727627858
235	0.3725854295
236	0.3724218091
237	0.372277793
238	0.3721430369
239	0.3720458978
240	0.3719099466
241	0.3718058515
242	0.3717027918
243	0.3715383085
244	0.3714241149
245	0.3712817311
246	0.3712206035
247	0.371047416
248	0.3708883008
249	0.3707061486
250	0.3705911681
251	0.370473495
252	0.3703251174
253	0.3701527867
254	0.370074151
255	0.3699391411
256	0.3698082729
257	0.3696760733
258	0.3695388425
259	0.3694468522
260	0.3693176029
261	0.3691984782
262	0.3690069299
263	0.3688866992
264	0.3687666025
265	0.3686285046
266	0.3684761849
267	0.3683353993
268	0.368214048
269	0.368130231
270	0.3679966541
271	0.3677393729
272	0.3676225684
273	0.3674904608
274	0.3672720596
275	0.3672213781
276	0.367044088
277	0.3669445189
278	0.3668247746
279	0.3666953956
280	0.3665528233
281	0.3664185295
282	0.366233366
283	0.3661069674
284	0.3659079545
285	0.3658067714
286	0.3657010245
287	0.3655767026
288	0.3655020578
289	0.3653734322
290	0.3653472945
291	0.3652039062
292	0.3650808091
293	0.3649258639
294	0.3647054558
295	0.3645881936
296	0.3644821574
297	0.3643456437
298	0.3641894753
299	0.3640448351
300	0.3639106139
301	0.3637241719
302	0.3636507243
303	0.3635254638
304	0.3634350201
305	0.3633004545
306	0.3632081149
307	0.3630327047
308	0.3628897132
309	0.3628567042
310	0.3626156694
311	0.3623918908
312	0.3622291093
313	0.362127011
314	0.3619655215
315	0.3618163284
316	0.3617412492
317	0.3616257055
318	0.3614930171
319	0.3613516073
320	0.3610877348
321	0.3610380424
322	0.3609532487
323	0.3607827399
324	0.3607198428
325	0.3605415858
326	0.360430264
327	0.3603463543
328	0.3602191211
329	0.3600693498
330	0.3599739052
331	0.3598792188
332	0.3598127518
333	0.3596936707
334	0.3596401676
335	0.3595264374
336	0.3594508637
337	0.3592322861
338	0.3591592663
339	0.3590810318
340	0.3589667628
341	0.3587883457
342	0.3586434865
343	0.3585792693
344	0.3584412146
